"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"MTSSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MITSUI SUGAR CO LTD ORD","N","N","","Mitsui Sugar Co., Ltd."
"MTST","OTC Link","15/10/2014","OTCQB","N","Common Stock","","METASTAT INC","N","N","USA","MetaStat, Inc."
"MTSXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METAL STORM LTD","N","N","Australia","Metal Storm Ltd."
"MTSXY","OTC Link","15/10/2014","OTC Pink No Information","N","American Depository Receipts","","METAL STORM LTD S/ADR","N","N","Australia","Metal Storm Ltd."
"MTTA","OTC Link/BB","15/10/2014","OTCQB","N","Common Stock","","META GOLD INC","N","N","USA","Meta Gold Inc."
"MTTIF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MITEC TECHS INC ORD","N","N","Canada","Mitec Technologies, Inc."
"MTTRY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","METRO AG UNSP/ADR","N","N","Germany","Metro AG"
"MTUAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MTU AERO ENGINES HLDGS AG","N","N","Germany","MTU Aero Engines AG"
"MTUAY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MTU AERO ENGINES UNSP/ADR","N","N","Germany","MTU Aero Engines AG"
"MTVAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","METROPOLE TELEVISION ORD","N","N","France","Metropole Television SA"
"MTVB","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MOUNTAIN VALLEY BANCSHS","N","N","USA","Mountain-Valley Bancshares, Inc."
"MTVX","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","APT MOTO VOX GROUP INC","N","N","USA","APT Moto Vox Group Inc"
"MTWD","OTC Link","15/10/2014","OTCQB","N","Common Stock","","METWOOD INC","N","N","USA","Metwood, Inc."
"MTXS","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MATCHES INC","N","N","China","Matches, Inc."
"MTXXY","OTC Link","15/10/2014","OTCQX International","N","American Depository Receipts","","METALS X LTD ADR","N","N","Australia","Metals X, Ltd."
"MTYFF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MTY FOOD GROUP INC","N","N","Canada","MTY Food Group, Inc."
"MTYGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MUTINY GOLD LTD ORD","N","N","","Mutiny Gold Ltd"
"MTZPY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MITSUBISHI TANBE PH S/ADR","N","N","Japan","Mitsubishi Tanabe Pharma Corp."
"MTZXF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MITSUBISHI TANABE PHA ORD","N","N","Japan","Mitsubishi Tanabe Pharma Corp."
"MTZXY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MITSUBISHI TANB UNSP/ADR","N","N","Japan","Mitsubishi Tanabe Pharma Corp."
"MUEL","OTC Link","15/10/2014","OTC Pink Current","N","Common Stock","","MUELLER PAUL CO","N","N","USA","Mueller (PAUL) Co."
"MUJIF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MARUFUJI SHEET PILING ORD","N","N","","Marufuji Sheet Piling Co Ltd"
